City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Narino,75.04,moderate rain,-3.7703,-70.3831,Puerto Nariño
1,Inhambane,80.71,overcast clouds,-23.865,35.3833,Maxixe
3,Kapaa,81.48,scattered clouds,22.0752,-159.319,Kapaʻa
4,Rikitea,79.7,clear sky,-23.1203,-134.9692,Rikitea
7,Arraial Do Cabo,75.74,broken clouds,-22.9661,-42.0278,Cabo Frio
10,Vaini,86.16,few clouds,-21.2,-175.2,Nukuhetulu
13,Bitung,76.05,overcast clouds,1.4451,125.1824,Bitung
14,Mahebourg,77.25,overcast clouds,-20.4081,57.7,Mahebourg
16,Tual,80.94,overcast clouds,-5.6667,132.75,Tual
17,Butaritari,80.65,overcast clouds,3.0707,172.7902,Ukiangang
18,Monteagudo,81.97,broken clouds,-19.8167,-63.9833,Monteagudo
19,Kahului,82.98,scattered clouds,20.8947,-156.47,Kahului
20,Yulara,83.7,clear sky,-25.2406,130.9889,Petermann
24,Luba,80.96,broken clouds,3.4568,8.5547,Luba
27,Salinopolis,77.09,broken clouds,-0.6136,-47.3561,Salinópolis
39,Alyangula,80.58,light rain,-13.8483,136.4192,Alyangula
49,Tucuma,75.29,heavy intensity rain,-0.1833,-50.05,No hotels found
51,Avarua,80.65,light rain,-21.2078,-159.775,Avarua District
53,Pisco,75.25,smoke,-13.7,-76.2167,Pisco
54,Ankazoabo,75.85,overcast clouds,-22.2833,44.5167,Ankazoabo
56,Monrovia,78.73,light rain,6.3005,-10.7969,Monrovia
60,Papara,79.68,scattered clouds,-3.9839,-38.7273,Papara
61,Bambous Virieux,77.22,overcast clouds,-20.3428,57.7575,Vieux Grand Port
77,Hithadhoo,80.24,broken clouds,-0.6,73.0833,Addu City
86,Durban,79.02,light rain,-29.8579,31.0292,Durban
88,Keffi,80.2,broken clouds,8.8486,7.8736,Keffi
89,Vao,79.21,overcast clouds,-22.6667,167.4833,Vao
95,Atuona,79.03,broken clouds,-9.8,-139.0333,Atuona
101,Sao Miguel,81.37,few clouds,-5.4667,-35.3667,Dom Marcolino
105,Mayumba,77.95,moderate rain,-3.432,10.6554,Mayumba
106,Odienne,80.76,clear sky,9.51,-7.5692,Odienne
107,Kavieng,82.58,light rain,-2.5744,150.7967,Kavieng
114,Luwuk,78.73,overcast clouds,-0.9516,122.7875,Luwuk
117,Puerto Carreno,83.8,overcast clouds,6.189,-67.4859,Puerto Carreño
119,Caravelas,78.73,overcast clouds,-17.7125,-39.2481,Caravelas
120,Yenagoa,79.29,scattered clouds,4.9247,6.2642,Yenagoa
125,Puerto Ayora,77.56,broken clouds,-0.7393,-90.3518,Puerto Ayora
129,Georgetown,76.95,few clouds,5.4112,100.3354,George Town
132,Emerald,78.35,clear sky,-23.5333,148.1667,Emerald
133,Sao Joao Da Barra,78.89,scattered clouds,-21.6403,-41.0511,Grussaí
138,Bintulu,75.18,overcast clouds,3.1667,113.0333,Bintulu
140,La Asuncion,75.07,light rain,11.0333,-63.8628,La Asuncion
142,Quatre Cocos,77.09,overcast clouds,-20.2078,57.7625,Central Flacq
144,Itarema,78.89,few clouds,-2.9248,-39.9167,Itarema
157,Hilo,81.28,scattered clouds,19.7297,-155.09,Hilo
160,Kangaba,81.16,broken clouds,11.9333,-8.4167,Kangaba
163,Cam Ranh,76.96,few clouds,11.9214,109.1591,Cam Ranh
166,Murindo,76.48,scattered clouds,6.9848,-76.7544,Modern Flovored Dress
167,Carnarvon,75.47,scattered clouds,-24.8667,113.6333,Carnarvon
168,Lorengau,83.66,overcast clouds,-2.0226,147.2712,Lorengau
177,Port Hedland,82.45,overcast clouds,-20.3167,118.5667,Port Hedland
183,Puerto Leguizamo,75.87,overcast clouds,-0.1934,-74.7819,Puerto Leguízamo
185,Bathsheba,79.41,few clouds,13.2167,-59.5167,Wilson Hill
190,Isangel,85.75,broken clouds,-19.55,169.2667,Isangel
198,The Valley,78.66,few clouds,18.217,-63.0578,The Valley
205,Makakilo City,82.72,clear sky,21.3469,-158.0858,Kapolei
217,Tari,77.29,broken clouds,12.4086,4.4914,Tari
218,Numan,77.0,overcast clouds,9.4667,12.0333,Numan
220,Morondava,77.09,overcast clouds,-20.2833,44.2833,Morondava
225,Buin,88.02,clear sky,-33.7333,-70.75,San Bernardo
228,Cidreira,75.38,scattered clouds,-30.1811,-50.2056,CIDREIRA
229,Kuala Terengganu,75.96,overcast clouds,5.3302,103.1408,Kuala Terengganu
236,Manokwari,77.27,overcast clouds,-0.8667,134.0833,Manokwari
239,Port-Gentil,80.56,light rain,-0.7193,8.7815,Port-Gentil
241,Vikindu,76.32,light rain,-7.0067,39.2985,Vikindu
242,Ankpa,78.35,overcast clouds,7.3706,7.6253,Ankpa
252,Manadhoo,80.08,overcast clouds,5.7667,73.3833,Manadhoo
260,Cayenne,78.84,broken clouds,4.9333,-52.3333,Cayenne
263,Buchanan,78.51,overcast clouds,5.8808,-10.0467,Buchanan
267,Ixtapa,76.23,broken clouds,20.7,-105.2,Puerto Vallarta
271,Alofi,80.35,broken clouds,-19.0595,-169.9187,Alofi
272,Trairi,78.42,few clouds,-3.2778,-39.2689,Trairi
277,Labuhan,76.8,light rain,-6.8844,112.2051,Musholla Babut Taubat
281,Poum,80.02,overcast clouds,-20.2333,164.0167,Poum
288,Namatanai,81.48,moderate rain,-3.6667,152.4333,Namatanai
292,Biloela,78.55,few clouds,-24.4167,150.5,Biloela
293,Cruzeiro Do Sul,83.52,broken clouds,-29.5128,-51.9853,Lajeado
294,Vila Velha,75.15,broken clouds,-20.3297,-40.2925,Vila Velha
300,Gizo,83.59,light rain,-8.103,156.8419,Gizo
305,Tadine,80.56,overcast clouds,-21.55,167.8833,Tadine
310,Saint-Georges,76.68,scattered clouds,12.0564,-61.7485,Saint George's
313,Daru,80.92,overcast clouds,-9.0763,143.2092,Daru
325,Tautira,77.9,light rain,-17.7333,-149.15,Tautira
331,Katobu,76.59,overcast clouds,-4.9408,122.5276,Kampani
333,Dalby,76.59,broken clouds,-27.1833,151.2667,Dalby
338,Cairns,85.1,scattered clouds,-16.9167,145.7667,Cairns
339,Koumac,82.8,overcast clouds,-20.5667,164.2833,Koumac
341,Puerto Escondido,85.03,clear sky,15.85,-97.0667,Puerto Escondido
