City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Narino,-3.7703,-70.3831,75.04,95,80,1.74,moderate rain
1,Inhambane,-23.865,35.3833,80.71,78,98,14.45,overcast clouds
2,Tura,25.5198,90.2201,56.62,52,5,3.38,clear sky
3,Kapaa,22.0752,-159.319,81.48,70,40,4.61,scattered clouds
4,Rikitea,-23.1203,-134.9692,79.7,76,3,16.17,clear sky
5,Mataura,-46.1927,168.8643,60.3,41,57,5.64,broken clouds
6,Menongue,-14.6585,17.691,62.8,96,100,5.39,light rain
7,Arraial Do Cabo,-22.9661,-42.0278,75.74,83,66,10.42,broken clouds
8,Pangnirtung,66.1451,-65.7125,-1.8,100,100,4.38,overcast clouds
9,Dikson,73.5069,80.5464,-8.95,92,100,25.84,overcast clouds
10,Vaini,-21.2,-175.2,86.16,74,20,2.3,few clouds
11,Jamestown,42.097,-79.2353,32.02,72,100,4.61,snow
12,Dicabisagan,17.0818,122.4157,74.57,85,96,1.95,overcast clouds
13,Bitung,1.4451,125.1824,76.05,78,100,3.6,overcast clouds
14,Mahebourg,-20.4081,57.7,77.25,81,100,5.55,overcast clouds
15,Sorland,67.667,12.6934,44.46,90,100,40.56,light rain
16,Tual,-5.6667,132.75,80.94,80,100,15.5,overcast clouds
17,Butaritari,3.0707,172.7902,80.65,75,96,12.8,overcast clouds
18,Monteagudo,-19.8167,-63.9833,81.97,43,73,1.43,broken clouds
19,Kahului,20.8947,-156.47,82.98,65,40,17.27,scattered clouds
20,Yulara,-25.2406,130.9889,83.7,18,5,15.55,clear sky
21,Ushuaia,-54.8,-68.3,53.74,52,85,3.18,overcast clouds
22,Dingli,35.8614,14.3822,47.8,76,20,9.22,few clouds
23,Saint-Philippe,-21.3585,55.7679,74.79,85,100,5.91,light rain
24,Luba,3.4568,8.5547,80.96,80,67,8.66,broken clouds
25,Dafeng,23.4517,108.5881,52.38,81,100,4.83,overcast clouds
26,Namwala,-15.7504,26.4384,63.1,98,100,3.0,overcast clouds
27,Salinopolis,-0.6136,-47.3561,77.09,89,84,11.56,broken clouds
28,Punta Arenas,-53.15,-70.9167,57.31,44,0,8.05,clear sky
29,Camabatela,-8.1881,15.375,61.79,99,100,2.08,overcast clouds
30,Tiksi,71.6872,128.8694,-19.61,92,100,4.21,overcast clouds
31,Helong,42.5397,128.9972,1.18,98,96,2.55,overcast clouds
32,Bluff,-46.6,168.3333,55.44,57,86,9.48,overcast clouds
33,Pangody,65.85,74.4859,4.82,96,100,6.44,overcast clouds
34,Tasiilaq,65.6145,-37.6368,17.76,59,76,7.61,broken clouds
35,Jaisinghnagar,23.7,81.3833,59.9,59,0,2.51,clear sky
36,Talnakh,69.4865,88.3972,-12.05,97,99,2.3,overcast clouds
37,Husavik,66.0449,-17.3389,25.29,76,75,21.16,broken clouds
38,Villa Guerrero,18.8667,-99.65,74.82,36,9,4.83,clear sky
39,Alyangula,-13.8483,136.4192,80.58,79,100,18.48,light rain
40,Bengkulu,-3.8004,102.2655,72.54,97,100,4.79,light rain
41,Pringsewu,-5.3582,104.9744,72.27,97,100,1.74,overcast clouds
42,Bredasdorp,-34.5322,20.0403,66.54,81,25,6.26,scattered clouds
43,Hay River,60.8156,-115.7999,-0.09,98,73,3.62,broken clouds
44,Leningradskiy,69.3833,178.4167,-32.62,89,42,5.26,scattered clouds
45,Tornio,65.8481,24.1466,26.62,89,83,16.55,broken clouds
46,Te Anau,-45.4167,167.7167,61.36,44,16,2.51,few clouds
47,Port Elizabeth,-33.918,25.5701,71.31,96,99,4.99,overcast clouds
48,Ribeira Grande,38.5167,-28.7,61.77,75,48,21.0,scattered clouds
49,Tucuma,-0.1833,-50.05,75.29,94,100,8.59,heavy intensity rain
50,Albany,42.6001,-73.9662,35.94,75,100,6.06,light snow
51,Avarua,-21.2078,-159.775,80.65,78,75,11.5,light rain
52,Alice Springs,-23.7,133.8833,74.75,31,3,0.0,clear sky
53,Pisco,-13.7,-76.2167,75.25,73,45,17.27,smoke
54,Ankazoabo,-22.2833,44.5167,75.85,69,100,11.63,overcast clouds
55,Saskylakh,71.9167,114.0833,-28.57,87,100,2.53,overcast clouds
56,Monrovia,6.3005,-10.7969,78.73,87,99,8.59,light rain
57,Mar Del Plata,-38.0023,-57.5575,69.94,80,0,15.99,clear sky
58,Kodiak,57.79,-152.4072,36.91,93,100,16.11,moderate rain
59,Palanga,55.9175,21.0686,28.42,86,75,5.75,broken clouds
60,Papara,-3.9839,-38.7273,79.68,90,37,3.18,scattered clouds
61,Bambous Virieux,-20.3428,57.7575,77.22,81,100,5.93,overcast clouds
62,Aykhal,66.0,111.5,-26.64,84,100,4.43,overcast clouds
63,Sao Filipe,14.8961,-24.4956,69.8,65,1,10.58,clear sky
64,New Norfolk,-42.7826,147.0587,70.92,63,26,1.01,scattered clouds
65,Cherskiy,68.75,161.3,-31.11,94,100,2.95,overcast clouds
66,Pedro Ii,-4.4247,-41.4586,72.28,74,84,2.59,broken clouds
67,Lac Du Bonnet,50.2536,-96.0612,22.32,88,88,9.69,overcast clouds
68,Magapit,18.1079,121.677,68.49,94,89,3.58,overcast clouds
69,Hami,42.8,93.45,8.02,33,0,9.71,clear sky
70,Coquimbo,-29.9533,-71.3436,65.93,72,20,10.36,few clouds
71,Hualmay,-11.0964,-77.6139,72.34,78,40,9.51,scattered clouds
72,Saint George,37.1041,-113.5841,40.42,37,75,13.0,broken clouds
73,Guerrero Negro,27.9769,-114.0611,61.59,44,0,16.08,clear sky
74,Hermanus,-34.4187,19.2345,66.79,83,61,8.72,broken clouds
75,Busselton,-33.65,115.3333,70.99,51,0,8.9,clear sky
76,Suntar,62.1444,117.6319,-25.73,88,100,10.8,overcast clouds
77,Hithadhoo,-0.6,73.0833,80.24,77,71,8.43,broken clouds
78,Barra,-11.0894,-43.1417,73.38,88,100,7.16,overcast clouds
79,Malibu,34.005,-118.8101,66.56,59,100,1.99,overcast clouds
80,Norman Wells,65.282,-126.8329,-1.8,100,97,0.92,overcast clouds
81,Fairbanks,64.8378,-147.7164,-14.84,76,40,6.91,scattered clouds
82,Arlit,18.7369,7.3853,70.52,12,0,4.47,clear sky
83,Ponta Do Sol,32.6667,-17.1,64.71,65,56,8.52,broken clouds
84,Dusti,37.3481,68.664,26.65,90,94,0.87,overcast clouds
85,Nanortalik,60.1432,-45.2371,20.95,58,52,5.44,broken clouds
86,Durban,-29.8579,31.0292,79.02,91,62,3.0,light rain
87,Barrow,71.2906,-156.7887,-5.78,84,100,12.66,overcast clouds
88,Keffi,8.8486,7.8736,80.2,18,57,2.82,broken clouds
89,Vao,-22.6667,167.4833,79.21,86,97,17.87,overcast clouds
90,Victoria,22.2855,114.1577,64.26,90,1,1.99,clear sky
91,Port Alfred,-33.5906,26.891,70.18,96,100,4.56,overcast clouds
92,Bethel,41.3712,-73.414,38.48,79,100,5.75,light rain
93,Balkanabat,39.5108,54.3671,31.33,48,0,1.01,clear sky
94,Lahij,13.1667,44.5833,68.2,76,94,8.28,overcast clouds
95,Atuona,-9.8,-139.0333,79.03,76,84,19.44,broken clouds
96,Fortuna,40.5982,-124.1573,52.36,63,18,11.01,few clouds
97,Meulaboh,4.1363,96.1285,74.44,92,100,5.08,overcast clouds
98,Karpogory,64.0019,44.4451,13.6,96,90,6.91,overcast clouds
99,Andenes,69.3143,16.1194,39.92,81,20,27.63,light rain
100,Narsaq,60.9167,-46.05,5.22,67,0,7.61,clear sky
101,Sao Miguel,-5.4667,-35.3667,81.37,78,12,13.2,few clouds
102,Vardo,70.3705,31.1107,31.98,86,75,33.38,broken clouds
103,Lulea,65.5842,22.1547,26.67,86,0,8.05,clear sky
104,Yellowknife,62.456,-114.3525,-13.31,95,72,4.56,broken clouds
105,Mayumba,-3.432,10.6554,77.95,85,100,0.16,moderate rain
106,Odienne,9.51,-7.5692,80.76,22,0,1.59,clear sky
107,Kavieng,-2.5744,150.7967,82.58,75,100,10.2,light rain
108,Shimoda,34.6667,138.95,42.1,68,100,11.79,light rain
109,Khatanga,71.9667,102.5,-42.03,95,19,3.27,few clouds
110,Abu Samrah,35.3029,37.1841,48.76,73,0,3.51,clear sky
111,Tshikapa,-6.4167,20.8,71.64,84,93,1.01,overcast clouds
112,Naze,28.3667,129.4833,64.6,75,36,12.88,scattered clouds
113,Kambove,-10.8764,26.5969,61.32,98,100,3.27,light rain
114,Luwuk,-0.9516,122.7875,78.73,82,100,2.04,overcast clouds
115,Rorvik,64.8621,11.2373,39.31,56,100,12.66,light rain
116,Ostrovnoy,68.0531,39.5131,26.08,86,94,25.03,overcast clouds
117,Puerto Carreno,6.189,-67.4859,83.8,52,100,11.36,overcast clouds
118,Topi,34.0704,72.6236,44.55,80,7,4.32,clear sky
119,Caravelas,-17.7125,-39.2481,78.73,86,99,9.46,overcast clouds
120,Yenagoa,4.9247,6.2642,79.29,81,48,3.98,scattered clouds
121,Lagos De Moreno,21.35,-101.9167,72.95,17,0,16.35,clear sky
122,Kidal,18.4411,1.4078,73.09,12,10,7.81,clear sky
123,Padang,-0.9492,100.3543,73.45,92,100,3.91,light rain
124,San Jose,37.3394,-121.895,61.79,35,20,21.85,few clouds
125,Puerto Ayora,-0.7393,-90.3518,77.56,91,72,7.0,broken clouds
126,Srivardhan,18.0333,73.0167,66.58,70,9,6.33,clear sky
127,Kaitangata,-46.2817,169.8464,60.19,45,24,8.39,few clouds
128,Clyde River,70.4692,-68.5914,-27.17,75,100,21.85,light snow
